wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940,53.19569,101.6516,7.06E+10,2.70E+10,6.30E+10,4.50E+10,9.89E+10,-9999,-9999,0.3094692,2.998387,2998.755,5738.653,1.914564,10.48847,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.1524,51.89272,101.3472,7.18E+10,2.71E+10,6.73E+10,4.92E+10,1.04E+11,-9999,-9999,0.322281,3.000354,3007.597,5873.665,1.95303,9.035928,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.3048,52.13396,101.1168,7.15E+10,2.71E+10,6.58E+10,4.78E+10,1.02E+11,-9999,-9999,0.3189638,2.982686,3014.339,5846.514,1.939564,8.454517,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.4572,52.3476,100.3048,7.18E+10,2.74E+10,6.40E+10,4.57E+10,1.00E+11,-9999,-9999,0.3127862,2.963294,3038.839,5822.631,1.916153,9.255606,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.6096,52.53764,99.86236,7.18E+10,2.74E+10,6.26E+10,4.43E+10,9.92E+10,-9999,-9999,0.3086424,2.946312,3052.201,5801.571,1.900784,9.107429,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.762,53.49662,100.7441,7.03E+10,2.70E+10,5.97E+10,4.17E+10,9.57E+10,-9999,-9999,0.3036416,2.946667,3025.594,5698.261,1.883294,9.114101,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4940.9144,53.82188,101.9174,6.92E+10,2.65E+10,5.96E+10,4.20E+10,9.49E+10,-9999,-9999,0.3065924,2.959185,2990.734,5663.127,1.893613,8.884182,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.0668,54.1906,102.6442,6.85E+10,2.62E+10,5.91E+10,4.16E+10,9.41E+10,-9999,-9999,0.3067808,2.974408,2969.499,5624.722,1.894155,8.439913,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.2192,54.36642,102.6005,6.86E+10,2.63E+10,5.86E+10,4.10E+10,9.36E+10,-9999,-9999,0.3048024,2.978446,2970.751,5606.402,1.887204,7.566622,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.3716,54.89986,102.7341,6.77E+10,2.61E+10,5.65E+10,3.91E+10,9.12E+10,-9999,-9999,0.3001271,2.959657,2966.89,5552.153,1.871358,8.873675,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.524,55.41515,103.4575,6.64E+10,2.55E+10,5.50E+10,3.80E+10,8.90E+10,-9999,-9999,0.2988326,2.943224,2946.186,5500.365,1.866949,10.76706,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.6764,56.14008,104.008,6.52E+10,2.52E+10,5.29E+10,3.61E+10,8.65E+10,-9999,-9999,0.2944191,2.934606,2930.552,5429.547,1.852722,12.20763,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.8288,57.15323,104.326,6.43E+10,2.50E+10,5.00E+10,3.34E+10,8.34E+10,-9999,-9999,0.2855509,2.931589,2921.615,5333.435,1.825492,11.34178,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4941.9812,58.28135,106.0199,6.21E+10,2.42E+10,4.78E+10,3.17E+10,8.01E+10,-9999,-9999,0.283463,2.926638,2875.22,5230.235,1.81909,10.16819,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.1336,59.44646,106.4748,6.08E+10,2.39E+10,4.48E+10,2.89E+10,7.66E+10,-9999,-9999,0.2734445,2.913575,2862.656,5127.726,1.791276,10.61209,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.286,59.94357,106.3707,6.04E+10,2.38E+10,4.32E+10,2.74E+10,7.50E+10,-9999,-9999,0.2673203,2.900633,2865.451,5084.795,1.774518,10.31468,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.4384,59.18666,106.7129,6.02E+10,2.36E+10,4.52E+10,2.95E+10,7.66E+10,-9999,-9999,0.277725,2.887194,2856.274,5150.232,1.803172,10.02649,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.5908,58.19764,106.6063,6.07E+10,2.36E+10,4.76E+10,3.19E+10,7.90E+10,-9999,-9999,0.2877089,2.880896,2859.125,5237.594,1.831871,7.997331,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.7432,56.74933,106.208,6.19E+10,2.38E+10,5.17E+10,3.58E+10,8.35E+10,-9999,-9999,0.300119,2.892056,2869.849,5371.971,1.871826,8.294436,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4942.8956,56.28499,105.0007,6.36E+10,2.45E+10,5.25E+10,3.62E+10,8.52E+10,-9999,-9999,0.2983336,2.904328,2902.971,5415.299,1.865525,8.587328,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.048,55.46822,103.2303,6.61E+10,2.55E+10,5.43E+10,3.73E+10,8.82E+10,-9999,-9999,0.2970492,2.920835,2952.824,5495.572,1.8611,9.751716,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.2004,54.72132,102.1623,6.78E+10,2.61E+10,5.62E+10,3.88E+10,9.09E+10,-9999,-9999,0.2988366,2.931227,2983.518,5570.16,1.866969,9.023973,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.3528,54.50855,101.3226,6.89E+10,2.66E+10,5.64E+10,3.87E+10,9.18E+10,-9999,-9999,0.2963405,2.936853,3008.262,5591.785,1.858836,9.599209,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.5052,54.28861,100.837,6.98E+10,2.69E+10,5.70E+10,3.90E+10,9.29E+10,-9999,-9999,0.2959208,2.945543,3022.705,5614.47,1.85743,9.022838,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.6576,54.57506,101.1118,6.96E+10,2.69E+10,5.65E+10,3.85E+10,9.23E+10,-9999,-9999,0.2944527,2.959247,3014.503,5585.082,1.852728,9.207571,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.81,54.47517,101.2426,7.01E+10,2.70E+10,5.73E+10,3.93E+10,9.33E+10,-9999,-9999,0.2962492,2.981636,3010.591,5595.266,1.858526,7.176851,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4943.9624,54.17252,101.1522,7.06E+10,2.72E+10,5.85E+10,4.04E+10,9.47E+10,-9999,-9999,0.2989144,2.991655,3013.281,5626.499,1.867232,8.335416,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4944.1148,53.91357,101.1465,7.08E+10,2.72E+10,5.94E+10,4.13E+10,9.57E+10,-9999,-9999,0.3015597,2.993267,3013.45,5653.52,1.876096,8.28803,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4944.2672,53.81715,100.711,7.12E+10,2.74E+10,5.94E+10,4.11E+10,9.59E+10,-9999,-9999,0.3001477,2.989653,3026.509,5663.623,1.871353,10.03718,-9999,,
1-BRSA-369A-RJS,LQC_ParamElast,Guratiba,4944.4196,53.74184,100.4287,7.13E+10,2.74E+10,5.92E+10,4.09E+10,9.58E+10,-9999,-9999,0.2993687,2.979349,3034.989,5671.562,1.868726,8.720702,-9999,,
