wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210,50.68925,93.37765,7.33E+10,2.84E+10,5.84E+10,3.95E+10,9.63E+10,0.04077397,0.006448239,0.2906857,2.66394,3265.492,6013.188,1.842049,19.63058,4.215728
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.1524,51.39953,92.41463,7.40E+10,2.90E+10,5.51E+10,3.58E+10,9.37E+10,0.0411947,0.00726551,0.2760825,2.660308,3299.916,5933.767,1.798067,21.34802,4.481732
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.3048,52.50637,94.74284,7.07E+10,2.77E+10,5.33E+10,3.48E+10,9.01E+10,0.03976749,0.008202907,0.2783333,2.672161,3217.349,5806.743,1.804687,23.44609,4.697481
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.4572,51.3036,93.24225,7.39E+10,2.88E+10,5.67E+10,3.75E+10,9.51E+10,0.03750326,0.01074107,0.282836,2.695391,3269.042,5941.105,1.817467,27.1272,4.664848
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.6096,51.17033,91.96912,7.60E+10,2.98E+10,5.65E+10,3.66E+10,9.62E+10,0.03465562,0.01390939,0.2758052,2.711849,3314.304,5956.701,1.797296,35.03929,4.361278
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.762,50.77627,90.95068,7.77E+10,3.05E+10,5.72E+10,3.68E+10,9.78E+10,0.03097614,0.01604809,0.2735914,2.714893,3351.292,6002.829,1.791202,48.3432,3.932518
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5210.9144,50.55397,90.43424,7.83E+10,3.08E+10,5.74E+10,3.69E+10,9.84E+10,0.0267736,0.01470688,0.2727301,2.707434,3370.429,6029.228,1.788863,57.47723,3.674646
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5211.0668,50.37691,89.89838,7.88E+10,3.10E+10,5.74E+10,3.67E+10,9.87E+10,0.0228637,0.009032937,0.2711038,2.69662,3390.529,6050.395,1.784512,53.20043,3.718498
1-BRSA-491-SPS,LQC_ParamElast,Guaratiba,5211.2192,50.45709,89.59347,7.92E+10,3.12E+10,5.68E+10,3.60E+10,9.85E+10,0.02083649,0.003189405,0.2677501,2.698915,3402.039,6040.852,1.775651,38.30799,3.943974
