wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ,,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392,58.65883,97.95279,6.39E+10,2.62E+10,3.80E+10,2.06E+10,7.29E+10,0.06413907,0.003156187,0.2203167,2.700914,3112.106,5196.289,1.669819,32.15071,5.971907,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.1524,59.14647,99.57651,6.13E+10,2.50E+10,3.75E+10,2.08E+10,7.08E+10,0.05863032,0.000537678,0.2274061,2.665826,3061.065,5153.364,1.683544,39.2616,5.377987,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.3048,59.71025,100.5922,5.94E+10,2.42E+10,3.64E+10,2.03E+10,6.86E+10,0.06178215,1.89E-05,0.2279852,2.631788,3030.127,5104.832,1.684684,45.94419,5.027214,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.4572,61.33807,103.569,5.53E+10,2.25E+10,3.41E+10,1.91E+10,6.41E+10,0.07851362,2.45E-05,0.2298149,2.59084,2944.358,4970.954,1.688404,42.83905,4.953207,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.6096,63.59127,108.6522,4.97E+10,2.01E+10,3.18E+10,1.84E+10,5.85E+10,0.1084194,9.08E-05,0.2392509,2.543997,2807.071,4794.531,1.708366,32.89342,5.035206,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.762,64.94814,112.7221,4.56E+10,1.82E+10,3.06E+10,1.84E+10,5.49E+10,0.1354815,7.80E-05,0.2513742,2.490709,2704.472,4693.123,1.735497,20.12786,5.098751,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5392.9144,65.33719,115.5811,4.31E+10,1.70E+10,3.05E+10,1.92E+10,5.33E+10,0.1445889,2.15E-05,0.2649813,2.446841,2637.477,4665.036,1.768975,13.12061,5.09083,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5393.0668,64.86993,115.8359,4.29E+10,1.69E+10,3.13E+10,2.00E+10,5.38E+10,0.1388835,1.36E-05,0.271544,2.435115,2631.427,4698.858,1.785667,11.99379,5.028134,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5393.2192,63.7637,113.4734,4.50E+10,1.77E+10,3.25E+10,2.07E+10,5.61E+10,0.1292491,2.61E-05,0.2692251,2.456119,2686.529,4780.596,1.779539,11.82507,4.941834,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5393.3716,63.8255,111.6698,4.66E+10,1.85E+10,3.20E+10,1.97E+10,5.68E+10,0.1267478,1.52E-05,0.2572208,2.489309,2729.525,4775.821,1.749781,11.03787,4.87779,,
2-ANP-2A-RJS,LQC_ParamElast,Barra Velha,5393.524,64.80937,111.6398,4.66E+10,1.87E+10,3.06E+10,1.81E+10,5.55E+10,0.1360866,0.00075622,0.2458331,2.508395,2730.234,4703.28,1.722643,10.31024,4.887754,,
