wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163,54.36923,94.62801,6.93E+10,2.77E+10,4.69E+10,2.85E+10,8.38E+10,0.0165497,0.001582444,0.2535862,2.716783,3221.045,5606.123,1.740478,37.8461,5.100243
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.1524,55.02106,94.70657,6.73E+10,2.70E+10,4.40E+10,2.60E+10,8.00E+10,0.01967284,0.000141208,0.2452561,2.646462,3218.362,5539.734,1.721289,50.38675,4.774868
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.3048,55.81832,94.45191,6.65E+10,2.70E+10,4.13E+10,2.33E+10,7.73E+10,0.02229741,8.03E-06,0.231641,2.607651,3227.04,5460.625,1.69215,56.41486,4.515691
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.4572,56.11058,94.74629,6.64E+10,2.70E+10,4.10E+10,2.30E+10,7.70E+10,0.02457082,5.79E-06,0.229912,2.60174,3217.014,5432.136,1.688564,53.86738,4.508516
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.6096,55.64519,94.97303,6.67E+10,2.69E+10,4.26E+10,2.46E+10,7.85E+10,0.03194964,2.85E-06,0.2386269,2.61332,3209.333,5477.583,1.706769,43.80403,4.571904
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.762,56.08792,94.44807,6.72E+10,2.74E+10,4.11E+10,2.29E+10,7.76E+10,0.03230586,2.70E-06,0.2275963,2.630057,3227.176,5434.343,1.683938,42.53991,4.469065
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5163.9144,57.27003,95.31208,6.62E+10,2.72E+10,3.91E+10,2.09E+10,7.53E+10,0.03856838,2.70E-06,0.2174709,2.636788,3197.929,5322.263,1.664276,45.60141,4.129393
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.0668,57.84781,96.35996,6.46E+10,2.65E+10,3.82E+10,2.05E+10,7.36E+10,0.05287851,2.70E-06,0.2182648,2.630854,3163.157,5269.02,1.665748,43.42506,3.796224
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.2192,59.33847,98.2346,6.09E+10,2.51E+10,3.53E+10,1.86E+10,6.88E+10,0.07284983,9.95E-06,0.2127563,2.602789,3102.831,5136.796,1.655509,31.33215,3.753191
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.3716,59.1185,102.2507,5.65E+10,2.26E+10,3.75E+10,2.24E+10,6.77E+10,0.09194566,3.97E-05,0.2487422,2.562167,2981.139,5155.752,1.729607,18.45216,4.009245
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.524,59.6682,102.4634,5.57E+10,2.24E+10,3.62E+10,2.13E+10,6.61E+10,0.09902028,1.18E-05,0.2434321,2.528548,2974.721,5108.271,1.717227,13.00182,4.395325
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.6764,60.2223,103.1953,5.44E+10,2.19E+10,3.51E+10,2.05E+10,6.44E+10,0.09871488,0.004408649,0.2417803,2.518944,2953.629,5061.268,1.713575,11.79218,4.651877
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.8288,60.01545,104.3483,5.40E+10,2.16E+10,3.64E+10,2.20E+10,6.52E+10,0.09758446,0.007687064,0.2528301,2.52834,2921.003,5078.696,1.738695,10.8563,4.742568
3-BRSA-861-SPS,LQC_ElasticParameters,Barra Velha,5164.9812,60.26167,102.9191,5.53E+10,2.23E+10,3.53E+10,2.05E+10,6.51E+10,0.09846609,0.007352519,0.2391209,2.541496,2961.58,5057.946,1.707876,9.818755,4.749052
