wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOB,SSVE,SVEL,VPVS,ECGR,PEFZ
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070,50.44085,92.79577,8.07E+10,3.15E+10,6.41E+10,4.31E+10,1.06E+11,0.002939346,0.00261827,0.2846528,2.899009,3292.313,6045.976,1.842821,5.762027,5.256484
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.1524,50.84884,90.44144,8.32E+10,3.28E+10,6.00E+10,3.81E+10,1.04E+11,0.001522479,0.003755208,0.2688223,2.88608,3370.181,5994.33,1.778686,6.023229,5.245646
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.3048,50.67521,96.28038,7.58E+10,2.90E+10,6.57E+10,4.63E+10,1.04E+11,0.000797051,0.002418589,0.3065882,2.885062,3170.226,6014.777,1.899993,6.176513,5.303963
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.4572,50.51011,99.1833,7.23E+10,2.73E+10,6.89E+10,5.07E+10,1.05E+11,0.000410858,0.002749452,0.3248879,2.89092,3073.153,6034.456,1.963654,6.930764,5.354626
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.6096,50.24757,99.59327,7.23E+10,2.72E+10,7.05E+10,5.24E+10,1.07E+11,0.000154802,0.004970659,0.3292576,2.901924,3060.45,6066.004,1.982069,7.141763,5.407039
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.762,50.21308,102.6247,6.92E+10,2.58E+10,7.33E+10,5.61E+10,1.08E+11,2.54E-05,0.005036424,0.3423329,2.921848,2971.048,6070.134,2.043764,7.137567,5.590566
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5070.9144,50.32001,105.6007,6.63E+10,2.45E+10,7.52E+10,5.89E+10,1.08E+11,3.88E-05,0.006687354,0.3530374,2.941875,2886.678,6057.241,2.098561,6.300442,5.868392
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.0668,50.42947,102.296,7.02E+10,2.62E+10,7.28E+10,5.53E+10,1.08E+11,0.000752006,0.005704975,0.3389179,2.950363,2981.358,6044.09,2.028544,6.004117,6.092765
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.2192,50.86364,100.9267,7.13E+10,2.68E+10,6.99E+10,5.20E+10,1.06E+11,0.001503156,0.004482042,0.32977,2.941063,3020.018,5992.643,1.984297,6.37664,6.154987
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.3716,52.46636,101.1241,6.97E+10,2.65E+10,6.32E+10,4.55E+10,9.85E+10,0.001982304,0.004105288,0.3156677,2.914923,3014.118,5811.212,1.927974,7.439692,6.114733
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.524,54.15507,101.1833,6.76E+10,2.60E+10,5.62E+10,3.89E+10,9.09E+10,0.00227339,0.004107609,0.2991507,2.867333,3012.355,5629.245,1.868717,10.69637,6.155182
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.6764,56.30661,105.0021,6.13E+10,2.36E+10,5.06E+10,3.49E+10,8.21E+10,0.005341412,0.0031394,0.2981289,2.797863,2904.356,5415.235,1.86469,16.84534,6.242106
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.8288,59.04818,109.2177,5.49E+10,2.12E+10,4.43E+10,3.02E+10,7.26E+10,0.003015225,0.006511935,0.2935136,2.72006,2791.444,5164.441,1.849904,24.32432,6.212193
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5071.9812,61.10443,110.5613,5.19E+10,2.03E+10,3.94E+10,2.59E+10,6.64E+10,0.001119541,0.009678802,0.2800125,2.665607,2756.849,4989.002,1.809644,33.049,5.931735
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.1336,62.00122,112.7508,4.94E+10,1.92E+10,3.79E+10,2.51E+10,6.36E+10,0.001839165,0.01057651,0.283168,2.630677,2703.675,4916.116,1.81847,40.41652,5.353303
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.286,63.20388,115.8888,4.62E+10,1.79E+10,3.64E+10,2.44E+10,6.03E+10,0.003056857,0.01008729,0.2882923,2.589797,2630.528,4823.011,1.833528,44.74451,4.767381
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.4384,65.00817,118.907,4.28E+10,1.66E+10,3.35E+10,2.24E+10,5.57E+10,0.006066073,0.008617125,0.2868497,2.531004,2563.668,4689.501,1.829167,40.66332,4.546982
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.5908,66.39404,121.3691,4.02E+10,1.56E+10,3.14E+10,2.09E+10,5.22E+10,0.006891921,0.00678632,0.2864701,2.474827,2511.529,4591.063,1.828004,31.45731,4.64045
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.7432,69.14,124.7779,3.72E+10,1.45E+10,2.80E+10,1.83E+10,4.74E+10,0.005436033,0.005285692,0.2784804,2.43617,2443.224,4410.631,1.80504,21.2135,4.887104
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5072.8956,71.15826,127.2523,3.52E+10,1.38E+10,2.58E+10,1.66E+10,4.42E+10,0.002911748,0.005878903,0.2725274,2.408424,2395.355,4283.791,1.788343,14.55856,4.97471
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5073.048,71.64164,127.8559,3.45E+10,1.36E+10,2.51E+10,1.61E+10,4.32E+10,0.001772979,0.01144595,0.2711678,2.385464,2383.934,4254.51,1.784659,11.45471,5.025104
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5073.2004,71.5927,128.0834,3.41E+10,1.34E+10,2.50E+10,1.61E+10,4.29E+10,0.000939275,0.004493666,0.2727982,2.368235,2379.702,4257.419,1.789058,10.2494,5.08358
3-BRSA-923A-SPS,LQC_ParamElast,Barra Velha,5073.3528,71.58125,128.1262,3.40E+10,1.33E+10,2.49E+10,1.61E+10,4.27E+10,0.000371917,0.001555295,0.273128,2.356743,2378.905,4258.099,1.789941,10.97998,5.152642
