wellName,datasetName,Formation,MD,DTc,DTs,E_DYN,G_DYN,K_DYN,Lame_K-G,M_K-G,PhiMac,PhiMic,PR,RHOZ,SSVE,SVEL,VPVS,ECGR,PEFZ,
,,,m,us/ft,us/ft,Pa,Pa,Pa,Pa,Pa,v/v,v/v,,g/cm3,m/s,m/s,,gAPI,b/e,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004,61.9417,110.6641,4.90E+10,1.93E+10,3.58E+10,2.30E+10,6.15E+10,0.000328232,0.009149175,0.2718463,2.538232,2754.285,4921.019,1.786671,32.1501,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.1524,62.64927,110.6928,4.84E+10,1.91E+10,3.42E+10,2.15E+10,5.98E+10,0.00451345,0.005865708,0.2642648,2.524907,2753.6,4865.529,1.766987,34.75874,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.3048,63.49538,110.4023,4.74E+10,1.89E+10,3.20E+10,1.94E+10,5.72E+10,0.03061607,0.002248576,0.2525856,2.483355,2760.891,4801.019,1.739029,36.0895,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.4572,64.91771,110.1645,4.60E+10,1.86E+10,2.89E+10,1.65E+10,5.37E+10,0.08851359,0.002742698,0.2336015,2.435542,2766.843,4697.813,1.697755,37.42027,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.6096,67.49811,111.1186,4.38E+10,1.81E+10,2.50E+10,1.29E+10,4.92E+10,0.1549038,0.008085492,0.2069558,2.408416,2743.198,4519.764,1.647348,38.75103,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.762,70.60558,112.3447,4.17E+10,1.78E+10,2.13E+10,9.49E+09,4.50E+10,0.2387194,0.01109288,0.172487,2.412127,2713.162,4321.023,1.592398,41.04834,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5004.9144,73.65411,113.5922,3.97E+10,1.74E+10,1.83E+10,6.64E+09,4.15E+10,0.2894767,0.01138407,0.1369274,2.423084,2683.713,4141.426,1.542887,43.34565,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.0668,77.43618,116.1467,3.64E+10,1.66E+10,1.53E+10,4.25E+09,3.74E+10,0.3194108,0.01117604,0.09848696,2.402037,2625.581,3945.639,1.501883,45.64296,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.2192,83.25156,120.3316,3.13E+10,1.50E+10,1.14E+10,1.42E+09,3.15E+10,0.3530709,0.01206992,-9999,2.339031,2534.769,3668.842,-9999,45.33557,-9999,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.3716,88.71304,126.3068,2.67E+10,1.32E+10,9.12E+09,3.20E+08,2.67E+10,0.4194285,0.01207484,-9999,2.258221,2417.994,3440.294,-9999,45.02817,4.577635,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.524,92.2165,134.9441,2.34E+10,1.11E+10,8.87E+09,1.48E+09,2.37E+10,0.4472559,0.01077099,-9999,2.164648,2263.111,3305.799,-9999,44.72077,4.663281,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.6764,92.28288,142.2079,2.15E+10,9.48E+09,9.85E+09,3.53E+09,2.25E+10,0.4710429,0.009237181,0.1328724,2.061779,2144.23,3303.453,1.541657,44.10776,4.753733,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.8288,90.7925,146.7885,2.06E+10,8.65E+09,1.11E+10,5.30E+09,2.26E+10,0.4506569,0.006889764,0.1879852,2.005475,2077.552,3357.25,1.617056,43.49475,4.848379,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5005.9812,90.11637,151.2767,2.03E+10,8.30E+09,1.23E+10,6.80E+09,2.34E+10,0.366439,0.003615093,0.2243718,2.044471,2015.283,3382.313,1.67875,42.88173,4.940276,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.1336,88.7301,154.3873,2.12E+10,8.44E+09,1.44E+10,8.74E+09,2.56E+10,0.3046574,0.001687151,0.2513806,2.16707,1974.54,3440.035,1.742798,40.85999,5.022714,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.286,84.11907,155.7643,2.24E+10,8.67E+09,1.83E+10,1.25E+10,2.99E+10,0.2487328,0.000863059,0.2914811,2.263819,1956.931,3636.142,1.858072,38.83825,5.096222,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.4384,79.75676,153.8492,2.37E+10,9.01E+09,2.15E+10,1.55E+10,3.35E+10,0.2329205,0.002328202,0.3158523,2.295466,1981.637,3821.684,1.929133,36.81651,5.167831,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.5908,80.07064,150.594,2.44E+10,9.37E+09,2.06E+10,1.44E+10,3.31E+10,0.2359762,0.007010715,0.3027503,2.287374,2024.278,3806.639,1.880767,34.8602,5.236676,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.7432,80.01801,147.702,2.51E+10,9.71E+09,2.01E+10,1.36E+10,3.31E+10,0.2320634,0.01408143,0.2920169,2.278371,2064.093,3809.159,1.845827,32.90388,5.320687,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5006.8956,79.74791,144.2134,2.59E+10,1.01E+10,1.96E+10,1.29E+10,3.31E+10,0.2126457,0.01737588,0.2793354,2.267102,2114.261,3822.092,1.808292,30.94757,5.413582,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.048,79.2694,140.1124,2.71E+10,1.07E+10,1.92E+10,1.20E+10,3.34E+10,0.192406,0.01602116,0.2638319,2.261811,2176.669,3845.265,1.767458,29.63149,5.52005,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.2004,78.50589,136.438,2.84E+10,1.13E+10,1.91E+10,1.16E+10,3.43E+10,0.1735365,0.01578012,0.2525212,2.273149,2234.063,3882.878,1.737999,28.31541,5.589311,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.3528,77.62685,135.2,2.94E+10,1.17E+10,2.00E+10,1.21E+10,3.56E+10,0.1608678,0.01732963,0.2540908,2.308848,2254.526,3926.546,1.741651,26.99933,5.64608,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.5052,77.09599,133.8627,3.07E+10,1.23E+10,2.06E+10,1.24E+10,3.70E+10,0.1561952,0.01980573,0.2518224,2.365098,2277.094,3953.662,1.736296,25.23659,5.68997,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.6576,76.43353,132.3599,3.21E+10,1.28E+10,2.14E+10,1.28E+10,3.85E+10,0.1501513,0.02005538,0.2498279,2.420159,2302.954,3987.9,1.731677,23.47385,5.712077,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.81,75.70877,130.5779,3.34E+10,1.34E+10,2.20E+10,1.31E+10,3.98E+10,0.1409561,0.01532258,0.2467498,2.458057,2334.602,4026.266,1.724684,21.71111,5.921378,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5007.9624,74.54184,127.8288,3.51E+10,1.41E+10,2.27E+10,1.33E+10,4.15E+10,0.1302962,0.009199454,0.2422858,2.480115,2385.287,4089.87,1.714758,20.80245,6.139706,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5008.1148,72.77547,123.973,3.74E+10,1.51E+10,2.37E+10,1.36E+10,4.39E+10,0.1237577,0.004060196,0.2369653,2.498544,2460.341,4190.165,1.703314,19.89379,6.348619,
9-BRSA-928-SPS,LQC_ParamElast,Barra Velha,5008.2672,70.74281,119.7977,4.02E+10,1.63E+10,2.50E+10,1.42E+10,4.68E+10,0.1233593,0.001654124,0.2322619,2.520951,2544.86,4309.406,1.693409,18.98513,6.364273,
